Rbefore,Rafter,
3.53791508345604,1.13938960436965,Germany
1.72446210625674,0.90080177571901,Italy
1.9103000046902,1.04813507760933,Netherlands
2.82123481781377,1.2882030922974,Greece
2.3975607361903,0.854703933041928,Austria
6,1.08060485385217,New Zealand
1.25708688302251,1.45672316890339,Denmark
4.46634456264775,1.17223396297884,Czechia
2.25647824397824,1.05491303957426,Croatia
0.940640358905615,0.951280062883507,Norway
6.66909430438842,1.20132492029212,Luxembourg
2.10333333333333,1.1433857024453,Lithuania
3.51455026455026,1.21502567843729,Latvia
9.34515080996653,1.27707095584261,France
2.25936526923369,0.929254835911775,Finland
2.61887562416933,1.50180497651179,Belgium
